,text
0,"🇰🇷 20 - Son Heung-min, who scored his 20th Premier League goal against Crystal Palace in November, became the highe… https://t.co/yz5KTzl3gS"
2,Championship fans are more deluded and salty than Premier League fans.
6,Are you and U11 or U12 nest season? Want to play in The Junior Premier League?....@JnrPremFootball https://t.co/igobwpRMBb
8,"Sprint your way towards a massive PPL package!

Play cash tables and you could stand a chance to win an amazing pac… https://t.co/Cd3tO1YCVH"
14,For some reason se are only interested in Championship players. I think @TonyKhan and @Jokanovic have to look at Pr… https://t.co/pAvEkwwPRP
19,"Just seems wrong seeing Gerry sign permanently for a Premier League club that isn’t Everton.

Still, I’m glad he’s… https://t.co/ZjhveZzsnh"
20,"🏫 We are looking for local primary schools to take part in our next Premier League Primary Stars programme.

Read… https://t.co/F6yVuWj9R7"
22,"KAZIM 
PREMIER LEAGUE
VIDEO APPRECIATION https://t.co/G0LmF3W3Ph"
24,How every Premier League club’s home stadium could benefit from safe standing | talkSPORT https://t.co/9EV45TSoLV via @talkSPORT
25,How every Premier League club’s home stadium could benefit from safe standing | talkSPORT https://t.co/pMBVl939ge via @talkSPORT
27,Lajong defeated Sawmer by 2-1 in their first game of the U-18 Shillong Premier League today at the MFA Ground in Po… https://t.co/u84MEag60U
28,"England chances boosted courtesy Premier League coaching power

https://t.co/Lyue64eeyE https://t.co/0G5G9eOpUE"
30,"In case anyone's still wondering whether Amazon getting Premier League rights matters, I've done a bit here 👇 https://t.co/21fUwIV55l"
33,"'Drogba told me to break the record - I said 'no worries, I will!'' - https://t.co/f9Fqc4FMCR #LFC #MohamedSalah"
34,"Definitely worth reading @Sam__Carp article on what the Premier League’s deal with Amazon really means.
https://t.co/wcl3sadg2Z"
36,Kurzawa signing with Man U today for world record fee. Word Prem on the boarding ticket. Prem&gt;Premier League&gt;Left B… https://t.co/EbZiYbrZXj
45,"A great summary of the #EPLrights and @Amazon joining the mix. The more I look at it, the more the makeup of the De… https://t.co/65mZkiHNCt"
46,Any French residents know if SFR show every premier league match? Will I be able to watch all of Arsenal’s matches?
47,"Didn't even want Alisson and Fekir

Shaqiri and Butland better, premier league proven players"
56,"🏃 Eden Hazard has said he ""wants to know Chelsea's plans"" before he decides his future. 

Hazard who is in many eye… https://t.co/gfgHgniM2o"
58,Must have a hard week of negotiations ahead to buy a team in the Lawn Bowls Premier League for 2019. https://t.co/W7qm6meKeh
61,Fascinating insight into the economics of UK Premier League https://t.co/qjjKQscazk
63,"Summer of LeBron? Nah. 

More like summer of World Cup, US Open, Open Championship, Wimbledon, PGA Championship, Co… https://t.co/5mG6GNxI8f"
64,"implications for Korean ⚽️: possible higher FIFA ranking. In turn, the Premier League could see more players going… https://t.co/QcOKJFEdWH"
